event,abs_time
instruction_screen_display,1737393852417614300
scanner_start_time,1737393869660549800
initial_rest_screen_display,1737393869674549300
block_1_start_time,1737393889725518300
block_1_cue_display,1737393889741518900
block_1_trial_1_display,1737393890758519800
block_1_trial_1_fixation,1737393894766526100
block_1_trial_2_display,1737393895291526700
block_1_trial_2_fixation,1737393899295532300
block_1_trial_3_display,1737393899825533200
block_1_trial_3_fixation,1737393903828539100
block_1_trial_4_display,1737393904358539700
block_1_trial_4_fixation,1737393908361546000
block_1_rest_screen_display,1737393908891545900
block_2_start_time,1737393928944573100
block_2_cue_display,1737393928958573400
block_2_trial_1_display,1737393929975575400
block_2_trial_1_fixation,1737393933981580500
block_2_trial_2_display,1737393934508582000
block_2_trial_2_fixation,1737393938511586900
block_2_trial_3_display,1737393939042587700
block_2_trial_3_fixation,1737393943044592200
block_2_trial_4_display,1737393943575593100
block_2_trial_4_fixation,1737393947578596800
block_2_rest_screen_display,1737393948109597600
block_3_start_time,1737393968160731000
block_3_cue_display,1737393968176732500
block_3_trial_1_display,1737393969192733200
block_3_trial_1_fixation,1737393973199736800
block_3_trial_2_display,1737393973726738500
block_3_trial_2_fixation,1737393977730741800
block_3_trial_3_display,1737393978259743200
block_3_trial_3_fixation,1737393982261746900
block_3_trial_4_display,1737393982792746500
block_3_trial_4_fixation,1737393986794751600
block_3_rest_screen_display,1737393987326752600
block_4_start_time,1737394007378805700
block_4_cue_display,1737394007393806200
block_4_trial_1_display,1737394008410807400
block_4_trial_1_fixation,1737394012417811500
block_4_trial_2_display,1737394012943812200
block_4_trial_2_fixation,1737394016947816700
block_4_trial_3_display,1737394017476817300
block_4_trial_3_fixation,1737394021479822700
block_4_trial_4_display,1737394022010827600
block_4_trial_4_fixation,1737394026013826600
block_4_rest_screen_display,1737394026543827200
block_5_start_time,1737394046595848900
block_5_cue_display,1737394046610849600
block_5_trial_1_display,1737394047627850500
block_5_trial_1_fixation,1737394051634854600
block_5_trial_2_display,1737394052160855600
block_5_trial_2_fixation,1737394056164859800
block_5_trial_3_display,1737394056694860900
block_5_trial_3_fixation,1737394060697865700
block_5_trial_4_display,1737394061227865500
block_5_trial_4_fixation,1737394065230869800
block_5_rest_screen_display,1737394065760870700
