trigger_event,abs_time
65,1737393869680549100
97,1737393871649552000
65,1737393871679552100
97,1737393873649554500
65,1737393873679554600
97,1737393875649557800
65,1737393875679557400
97,1737393877649560900
65,1737393877679560200
97,1737393879649531300
65,1737393879678817700
97,1737393881649335700
65,1737393881679741600
97,1737393883649129100
65,1737393883680401800
97,1737393885649526900
65,1737393885679927100
97,1737393887649515200
65,1737393887679515800
97,1737393889649518700
65,1737393889679518300
97,1737393891649521200
65,1737393891678521800
97,1737393893649523900
65,1737393893679523900
97,1737393895648526800
65,1737393895679526600
97,1737393897649529600
65,1737393897678530000
97,1737393899648532500
65,1737393899680532700
97,1737393901648536100
65,1737393901680536100
97,1737393903648538100
65,1737393903679538000
97,1737393905648540700
65,1737393905679540600
97,1737393907648543800
65,1737393907679543900
97,1737393909648546300
65,1737393909678546200
97,1737393911648549200
65,1737393911679549100
97,1737393913648551700
65,1737393913678552600
97,1737393915648555000
65,1737393915678555300
97,1737393917648557800
65,1737393917680557900
97,1737393919648560400
65,1737393919679560700
97,1737393921648563000
65,1737393921678563500
97,1737393923648565900
65,1737393923679566000
97,1737393925648568700
65,1737393925678568700
97,1737393927648572000
65,1737393927678571500
97,1737393929648574800
65,1737393929679574200
97,1737393931648577600
65,1737393931678577000
97,1737393933648579800
65,1737393933679579900
97,1737393935648582400
65,1737393935680583400
97,1737393937648585700
65,1737393937678585700
97,1737393939648588100
65,1737393939678588500
97,1737393941648590000
65,1737393941678590000
97,1737393943648592500
65,1737393943678592800
97,1737393945648594200
65,1737393945678594400
97,1737393947648596600
65,1737393947678597000
97,1737393949648599300
65,1737393949679599400
97,1737393951648601400
65,1737393951679600900
97,1737393953648603800
65,1737393953679603800
97,1737393955648605700
65,1737393955678605600
97,1737393957648608200
65,1737393957678618900
97,1737393959648609800
65,1737393959678609700
97,1737393961647723300
65,1737393961678723700
97,1737393963647725200
65,1737393963677725100
97,1737393965647729000
65,1737393965678728700
97,1737393967647731100
65,1737393967679730400
97,1737393969647732900
65,1737393969678732500
97,1737393971647734900
65,1737393971678735100
97,1737393973647737200
65,1737393973677737100
97,1737393975647739400
65,1737393975677739500
97,1737393977647741600
65,1737393977678741600
97,1737393979647742900
65,1737393979677742800
97,1737393981647745300
65,1737393981677745400
97,1737393983647747200
65,1737393983679748100
97,1737393985647750800
65,1737393985678750900
97,1737393987647753200
65,1737393987677753100
97,1737393989647755100
65,1737393989678754900
97,1737393991647757100
65,1737393991677756700
97,1737393993647759300
65,1737393993678759600
97,1737393995647761400
65,1737393995677761400
97,1737393997647777200
65,1737393997678173700
97,1737393999648084600
65,1737393999678302300
97,1737394001647708900
65,1737394001678955200
97,1737394003647802700
65,1737394003678802300
97,1737394005647804200
65,1737394005678803800
97,1737394007647806000
65,1737394007677806300
97,1737394009647808100
65,1737394009677808400
97,1737394011647810400
65,1737394011678810700
97,1737394013647812600
65,1737394013677813000
97,1737394015647815200
65,1737394015677815200
97,1737394017647817300
65,1737394017678817100
97,1737394019647819300
65,1737394019678819100
97,1737394021647822500
65,1737394021677821500
97,1737394023647823900
65,1737394023677823500
97,1737394025647826300
65,1737394025677826400
97,1737394027647828100
65,1737394027677828300
97,1737394029647830600
65,1737394029677831200
97,1737394031647842800
65,1737394031677832800
97,1737394033647835600
65,1737394033678835200
97,1737394035647836700
65,1737394035678837000
97,1737394037646839600
65,1737394037677839700
97,1737394039646842000
65,1737394039676842000
97,1737394041646843700
65,1737394041677843500
97,1737394043646845800
65,1737394043677845900
97,1737394045646848500
65,1737394045676848500
97,1737394047646850300
65,1737394047677850900
97,1737394049646852700
65,1737394049678852700
97,1737394051646854600
65,1737394051677854500
97,1737394053646856900
65,1737394053678856600
97,1737394055646859300
65,1737394055676859500
97,1737394057646861500
65,1737394057676861600
97,1737394059646863200
65,1737394059677863200
97,1737394061646865700
65,1737394061676866200
97,1737394063646867700
65,1737394063676867500
97,1737394065646870000
65,1737394065677870100
97,1737394067646872300
65,1737394067677872900
97,1737394069646874300
65,1737394069677874300
97,1737394071646877000
65,1737394071677877100
97,1737394073646878900
65,1737394073676878800
97,1737394075646880800
65,1737394075676880800
97,1737394077646883400
65,1737394077676883400
97,1737394079646885600
65,1737394079676885900
97,1737394081646887500
65,1737394081676887800
97,1737394083646891400
65,1737394083677889800
97,1737394085646891900
65,1737394085677892300
97,1737394087646894300
65,1737394087676894300
97,1737394089646896400
65,1737394089676896200
97,1737394091646898600
65,1737394091676898600
97,1737394093646900800
65,1737394093676900600
97,1737394095646903200
65,1737394095676903100
97,1737394097646905200
65,1737394097676905100
97,1737394099646907200
65,1737394099676907300
97,1737394101646909800
65,1737394101677910100
97,1737394103646911900
65,1737394103677911700
97,1737394105646913900
65,1737394105675913800
97,1737394107646916300
65,1737394107676916000
97,1737394109646918300
65,1737394109676918100
97,1737394111646921100
65,1737394111675920800
97,1737394113646922500
65,1737394113676922700
97,1737394115645925200
65,1737394115676925300
97,1737394117645926900
65,1737394117676927300
97,1737394119645929600
65,1737394119677929700
97,1737394121645931300
65,1737394121676931700
97,1737394123645934200
65,1737394123675933700
97,1737394125645936300
65,1737394125676936100
97,1737394127645938100
65,1737394127675938000
97,1737394129645940200
65,1737394129675940700
97,1737394131645942500
65,1737394131676942900
97,1737394133645945300
65,1737394133676945000
97,1737394135645946900
65,1737394135677947000
97,1737394137645949200
65,1737394137677949000
97,1737394139645951200
65,1737394139675951300
97,1737394141645954000
65,1737394141676953400
97,1737394143645956000
65,1737394143675956400
97,1737394145645958300
65,1737394145675958000
97,1737394147645961400
65,1737394147676960300
97,1737394149645962700
65,1737394149675963000
97,1737394151645964800
65,1737394151676965000
97,1737394153645966900
65,1737394153677967200
97,1737394155645969000
65,1737394155675968900
97,1737394157645971100
65,1737394157675971100
97,1737394159645973700
65,1737394159676973800
97,1737394161645975500
65,1737394161675975500
97,1737394163645977700
65,1737394163675977500
97,1737394165645980200
65,1737394165675980600
97,1737394167645311000
65,1737394167677531600
97,1737394169645975500
65,1737394169676975500
97,1737394171645977300
65,1737394171675977600
97,1737394173645980100
65,1737394173675980000
97,1737394175645982100
65,1737394175675981700
97,1737394177645985000
65,1737394177675985300
97,1737394179645986800
65,1737394179675986900
97,1737394181645988800
65,1737394181675989600
97,1737394183645991000
65,1737394183676990900
97,1737394185645993300
65,1737394185676993400
97,1737394187645995600
65,1737394187674995300
97,1737394189644997100
65,1737394189675997000
97,1737394191645999300
65,1737394191675999100
97,1737394193645002700
65,1737394193675002700
97,1737394195645004100
65,1737394195676003700
97,1737394197645006600
65,1737394197676006900
97,1737394199645009000
65,1737394199676008800
97,1737394201645011100
65,1737394201677011000
97,1737394203645013200
65,1737394203676013500
97,1737394205645015100
65,1737394205675015600
97,1737394207645016900
65,1737394207676016900
97,1737394209645019500
65,1737394209675019200
97,1737394211645022400
65,1737394211675021400
97,1737394213645024600
65,1737394213676024500
97,1737394215645025800
65,1737394215675025700
97,1737394217645028400
65,1737394217676028900
97,1737394219645030800
65,1737394219677030900
97,1737394221645032700
65,1737394221675033000
97,1737394223645035400
65,1737394223675035100
98,1737394225645036500
97,1737394225645036500
66,1737394225666037100
65,1737394225676037100
97,1737394227645038800
65,1737394227675039000
97,1737394229645041700
65,1737394229675041700
97,1737394231645043300
65,1737394231675044100
97,1737394233645045500
65,1737394233676045900
97,1737394235645048400
65,1737394235676048700
97,1737394237645050400
65,1737394237676050300
97,1737394239645053100
65,1737394239675052000
97,1737394241645054300
65,1737394241675054200
97,1737394243645056100
65,1737394243675056100
97,1737394245645057600
65,1737394245675057400
97,1737394247645059600
65,1737394247675059600
97,1737394249645061200
65,1737394249675060900
97,1737394251645063700
65,1737394251676063900
97,1737394253645064900
65,1737394253675064800
97,1737394255645068700
65,1737394255675069600
97,1737394257645068600
65,1737394257675068500
97,1737394259645070700
65,1737394259674070800
97,1737394261645072000
65,1737394261675072600
97,1737394263645073100
65,1737394263675073200
97,1737394265644075300
65,1737394265674075600
97,1737394267644077100
65,1737394267676077200
97,1737394269644080000
65,1737394269676080200
97,1737394271644081700
65,1737394271674082100
97,1737394273644082800
65,1737394273675083300
97,1737394275644084800
65,1737394275674085200
97,1737394277644086600
65,1737394277674086900
97,1737394279644088600
65,1737394279675088600
97,1737394281644090200
65,1737394281674089700
97,1737394283644091500
65,1737394283675091600
97,1737394285644093400
65,1737394285676093400
97,1737394287644096100
65,1737394287675096000
97,1737394289644096900
